Company/Brand,Sector,HeadQuarter,Year,Investor,Amount
NoPaperForms Solutions Pvt. Ltd.,EdTech,New Delhi,2018,Undisclosed,3980000.0
Rays Power Infra,Energy,Jaipur,2018,Undisclosed,24000000.0
AuthMetrik,B2B,Gurugram,2018,Undisclosed,10000.0
Khidki,Artificial Intelligence,Bangalore,2018,Undisclosed,0.0
LetsTransport,Logistics,Bangalore,2018,Undisclosed,12000000.0
Next Digital Solutions,Digital Marketing,Kota,2018,Undisclosed,1200.0
Portea Medical,Health,Bangalore,2018,Undisclosed,3000000.0
Aavas Financiers,Finance,Jaipur,2018,Undisclosed,24000000.0
Swiggy,Delivery,Bangalore,2018,Undisclosed,1000000000.0
Milkbasket,E-Commerce,Haryana,2018,Undisclosed,7000000.0
Nutrisattva (Proliva),Fitness,Anand,2018,Undisclosed,0.0
Toppr,EdTech,Mumbai,2018,Undisclosed,35000000.0
Jagaran Microfin,Finance,Kolkata,2018,Undisclosed,6600000.0
Vivriti Capital,Finance,Chennai,2018,Undisclosed,28500000.0
Be U Salons,Apps,New Delhi,2018,Undisclosed,360000.0
Impact Guru,Finance,Mumbai,2018,Undisclosed,2000000.0
MobiKwik,Finance,Gurugram,2018,Undisclosed,2880000.0
Stones2Milestones,EdTech,Gurugram,2018,Undisclosed,0.0
Generico,Health,Mumbai,2018,Undisclosed,0.0
Adiuvo Diagnostics,Fitness,Chennai,2018,Undisclosed,0.0
DataTrained,EdTech,Bangalore,2018,Undisclosed,1440000.0
OneAssist,Finance,Mumbai,2018,Undisclosed,2400000.0
Satin Creditcare Network Limited (SCNL),Finance,New Delhi,2018,Undisclosed,30000000.0
APAC Financial Services,Finance,Mumbai,2018,Undisclosed,30000000.0
Moglix,B2B,Noida,2018,Undisclosed,23000000.0
SEDEMAC Mechatronics,Automobile,Mumbai,2018,Undisclosed,0.0
MadGuy Labs,EdTech,Hyderabad,2018,Undisclosed,150000.0
Dee Dee Labs,Embedded Systems,Pune,2018,Undisclosed,0.0
FLEECA,Automobile,Jaipur,2018,Undisclosed,0.0
Shop101,Apps,Mumbai,2018,Undisclosed,11000000.0
FeedMyPockets,Advertising,Bangalore City,2018,Undisclosed,528000.0
Housejoy,Beauty,Bangalore,2018,Undisclosed,3240000.0
Ambee,Health,Bangalore,2018,Undisclosed,0.0
FoodBuddy,Delivery,Belgaum,2018,Undisclosed,720000.0
Ninjacart,Agriculture,Bangalore,2018,Undisclosed,30000000.0
Olly Smart Credit Card,Credit Cards,New Delhi,2018,Undisclosed,0.0
Zestl,Software,Pune,2018,Undisclosed,0.0
